	user	topic	link	utterance	effect	
	akamue	politics	https://www.tagesspiegel.de/politik/umstrittene-taz-kolumne-ein-innenminister-hat-nicht-das-recht-journalistinnen-fuer-strafbar-zu-erklaeren/26171176.html#kommentare	Eben noch das Wort, morgen die Tat.	insinuation	
	oscarherz	politics	https://www.tagesspiegel.de/politik/umstrittene-taz-kolumne-ein-innenminister-hat-nicht-das-recht-journalistinnen-fuer-strafbar-zu-erklaeren/26171176.html#kommentare	Der Innenminister hat sogar die Pflicht sich schützend vor seine Polizisten zu stellen	lecture	
	hdschmidt	politics	https://www.tagesspiegel.de/politik/umstrittene-taz-kolumne-ein-innenminister-hat-nicht-das-recht-journalistinnen-fuer-strafbar-zu-erklaeren/26171176.html#kommentare	Der einzige tragbare Bundesminister der letzten Jahre aus der CSU ist Herr Schmidt	insinuation	
	GEO65	politics	https://www.tagesspiegel.de/politik/umstrittene-taz-kolumne-ein-innenminister-hat-nicht-das-recht-journalistinnen-fuer-strafbar-zu-erklaeren/26171176.html#kommentare	Das ist Blödsinn...	dissence	
	carmichael	politics	https://www.tagesspiegel.de/politik/wie-weiter-nach-dem-brand-in-moria-laschet-will-1000-fluechtlinge-in-nrw-aufnehmen/26171270.html#kommentare	Höchstwahrscheinlich haben die Flüchtlingen das Lager selbstständig angesteckt.	insinuation	
	Horschti	politics	https://www.tagesspiegel.de/politik/wie-weiter-nach-dem-brand-in-moria-laschet-will-1000-fluechtlinge-in-nrw-aufnehmen/26171270.html#kommentare	Ungewollter, aber vorhersehbarer Nebeneffekt sind weitere Stimmenzuwächse im linken und rechten Lager.	lecture	
		politics	https://www.tagesspiegel.de/politik/wie-weiter-nach-dem-brand-in-moria-laschet-will-1000-fluechtlinge-in-nrw-aufnehmen/26171270.html#kommentare	Nun entpuppt er sich zusätzlich noch als Kinderfeind.	insinuation	
	Matty	politics	https://www.tagesspiegel.de/politik/wie-weiter-nach-dem-brand-in-moria-laschet-will-1000-fluechtlinge-in-nrw-aufnehmen/26171270.html#kommentare	Die Deutschen sind das ärmste Volk in Europa, also auch ärmer als die Griechen. 	insinuation	
	yoda	politics	https://www.tagesspiegel.de/politik/wie-weiter-nach-dem-brand-in-moria-laschet-will-1000-fluechtlinge-in-nrw-aufnehmen/26171270.html#kommentare	diese gekünstelte Statistik ist ein Fake, das muss Ihnen doch schon der Verstand sagen.	lecture	
	torsten379	politics	https://www.tagesspiegel.de/politik/wie-weiter-nach-dem-brand-in-moria-laschet-will-1000-fluechtlinge-in-nrw-aufnehmen/26171270.html#kommentare	Die zitierten Entscheidungsträger fordern im Grunde eine Neuauflage der Politik von 2015.	insinuation	
	paoloschoen	politics	https://www.tagesspiegel.de/politik/wie-weiter-nach-dem-brand-in-moria-laschet-will-1000-fluechtlinge-in-nrw-aufnehmen/26171270.html#kommentare	Wenn so wie von Maas gefordert die Flüchtlinge in Europa verteilt werden , brennen bald alle Flüchtlingslager	insinuation	
	Nur Vernunft	politics	https://www.zeit.de/gesellschaft/zeitgeschehen/2020-09/polizei-frankreich-vincent-gendrot-gewalt-protest-gelbwesten?page=2#comments	Aber auch die Polizei ist im Grunde nur ein Opfer, ein Opfer unfähiger Politiker und deren verfehlter Politik	insinuation	
	Ra-Jo	politics	https://www.zeit.de/gesellschaft/zeitgeschehen/2020-09/polizei-frankreich-vincent-gendrot-gewalt-protest-gelbwesten?page=2#comments	Schon mal was von Datenschutz gehört?	lecture	
	Tobsse	politics	https://www.zeit.de/gesellschaft/zeitgeschehen/2020-09/polizei-frankreich-vincent-gendrot-gewalt-protest-gelbwesten?page=2#comments	Das sie damit ihre Angangsbehauptung ad absurdum führen ist wohl offensichtlich	lecture	
	Borgdrohne	politics	https://www.zeit.de/gesellschaft/zeitgeschehen/2020-09/polizei-frankreich-vincent-gendrot-gewalt-protest-gelbwesten?page=2#comments	Der forist/die Foristin hat das gleiche Recht das zu fragen wie jede andere Person mit einer anderen Hautfarbe auch.	lecture	
	Borgdrohne	politics	https://www.zeit.de/gesellschaft/zeitgeschehen/2020-09/polizei-frankreich-vincent-gendrot-gewalt-protest-gelbwesten?page=2#comments	ist von den Umständen abhängig, aber in der Regel ja, da haben Sie recht.	Consession	
	Drucksache	politics	https://www.zeit.de/gesellschaft/zeitgeschehen/2020-09/polizei-frankreich-vincent-gendrot-gewalt-protest-gelbwesten?page=2#comments	Das ist alles Teil des Systems. Nur die Kapitaleinkünfte und die Modeling- und Beraterhonorare dürfen üppig ausfallen.	insinuation	
	Fahrinurlaub	politics	https://www.zeit.de/gesellschaft/zeitgeschehen/2020-09/polizei-frankreich-vincent-gendrot-gewalt-protest-gelbwesten?page=9#comments	Wer glaubt das es hier groß anders ist hat Illusionen!	lecture	
	BDLB	politics	https://www.zeit.de/gesellschaft/zeitgeschehen/2020-09/polizei-frankreich-vincent-gendrot-gewalt-protest-gelbwesten?page=9#comments	"Merken wir uns mal: ""Alle"" ist außerhalb der Mathematik und ein paar Sokrates-Mensch-Sätzen immer Quatsch. "	lecture	
	St.S	politics	https://www.zeit.de/2020/38/russland-alexej-nawalny-nord-stream-2-wladimir-putin-aussenpolitik#comments	Dieser Artikel ist ausgezeichnet und bringt es klar auf den Punkt	praise	
	Orgelpaul	politics	https://www.zeit.de/2020/38/russland-alexej-nawalny-nord-stream-2-wladimir-putin-aussenpolitik#comments	Dafür hat Herr Lau eine Leseschwäche.	insinuation	
	Herr der Hallen von Menegroth	politics	https://www.zeit.de/2020/38/russland-alexej-nawalny-nord-stream-2-wladimir-putin-aussenpolitik#comments	Der Nawalny-Stunt ist der Sargnagel der Wirkmacht der deutschen Medien.	insinuation	
	Think Tank	politics	https://www.zeit.de/2020/38/russland-alexej-nawalny-nord-stream-2-wladimir-putin-aussenpolitik#comments	Und wir dürfen dann wieder mal die Kosten übernehmen.	insinuation	
	Harmodios	politics	https://www.zeit.de/2020/38/russland-alexej-nawalny-nord-stream-2-wladimir-putin-aussenpolitik#comments	Es ist klar, dass Nawalny mit Nowitschok vergiftet wurde.	lecture	
	TimMueller	politics	https://www.tagesspiegel.de/berlin/ovations-boykott-im-bundestag-polizei-attackiert-sitzenbleiber-der-afd/26176022.html	"Die Poltiker die jetzt wieder so toll ""Helden"" schreien, haben bereits kurz danach wieder vergessen, für was ein Polizeibeamter alles den Kopf und Gesundheit hinhalten darf!"	insinuation	
	Klick	politics	https://www.tagesspiegel.de/berlin/ovations-boykott-im-bundestag-polizei-attackiert-sitzenbleiber-der-afd/26176022.html	Was für eine abscheulich-widerliche Partei!	dissence	
	BLM-PoC	politics	https://www.tagesspiegel.de/berlin/ovations-boykott-im-bundestag-polizei-attackiert-sitzenbleiber-der-afd/26176022.html	Aber Sie haben recht, es hat schon was von Heuchelei. 	consession	
	Wolfreif	politics	https://www.tagesspiegel.de/berlin/ovations-boykott-im-bundestag-polizei-attackiert-sitzenbleiber-der-afd/26176022.html	Nehmt Reälitäten wahr .	Lecture	
	akula	politics	https://www.tagesspiegel.de/berlin/ovations-boykott-im-bundestag-polizei-attackiert-sitzenbleiber-der-afd/26176022.html	Immer und immer wieder inflationär etwas Falsches zu behaupten ist übrigens üble Nachrede und ein Straftatbestand.	Lecture	
	Oyama	politics	https://www.tagesspiegel.de/berlin/ovations-boykott-im-bundestag-polizei-attackiert-sitzenbleiber-der-afd/26176022.html	Auch das natürlich sehr typisch für die rechtsradikale Hetze. 	Lecture	
	GEO65	politics	https://www.tagesspiegel.de/politik/kommunalwahl-in-nrw-ich-werde-staendig-sexistisch-angefeindet/26176354.html#kommentare	Das Interview haben Sie offensichtlich nicht verstanden, das war nämlich gar nicht das Thema.	Lecture	
	Undine	politics	https://www.tagesspiegel.de/wissen/christian-drosten-im-interview-wir-alle-sind-die-welle/26205276.html#kommentare	finde ich besonders wichtig, obwohl er auf den ersten Blick trivial klingt.	consession	
	Robert_Rostock	politics	https://www.tagesspiegel.de/wissen/christian-drosten-im-interview-wir-alle-sind-die-welle/26205276.html#kommentare	Insgesamt wirklich ein sehr gutes, informatives Interview. 	praise	
	ach	society	https://www.tagesspiegel.de/politik/neue-machtverhaeltnisse-die-bischoefe-brauchen-die-frauen/26208638.html	Wichtiger wäre allerdings, wenn Bund und Lönder aufhören würden, diesen Diskriminierungsvrein zu subventionieren.	Lecture	
	rena5	society	https://www.tagesspiegel.de/berlin/spielstrassen-zum-autofreien-tag-zeichnungen-mit-kreide-wo-sonst-auspuffe-knattern/26208628.html#kommentare	Spielstraßen sind wieder so eine Aktion, den Hass auf Autofahrer*innen auszuleben.	insinuation	
	Prenzlbaer	society	https://www.tagesspiegel.de/berlin/spielstrassen-zum-autofreien-tag-zeichnungen-mit-kreide-wo-sonst-auspuffe-knattern/26208628.html#kommentare	Nein, das haben sie nicht, das können sie nämlich gar nicht. 	Lecture	
	ach	society	https://www.tagesspiegel.de/berlin/fotos-aus-ost-berlin-1961-1980-als-kinder-in-panzern-durch-berlin-fuhren/26168104.html#kommentare	Also gab ja noch 4 Armeen, die im angeblich entmilitarisierten Groß-Berlin vertreten waren.	Lecture	
	Westpreussen	society	https://www.tagesspiegel.de/berlin/fotos-aus-ost-berlin-1961-1980-als-kinder-in-panzern-durch-berlin-fuhren/26168104.html#kommentare	Nach dem Grundlagenvertrag von 1972 waren solche ärgerlichen Aktionen sicher pas­sé. 	Lecture	
	Biene	politics	https://www.freitag.de/autoren/konstantin-nowotny/wir-muessen-gar-nichts#comments	ich wiederspreche zutiefst	dissence	
	mymind 	politics	 https://www.freitag.de/autoren/der-freitag/russland-verstehen#comments	Der 1. Absatz ist kompletter Quark	dissence	
	mymind 	politics	 https://www.freitag.de/autoren/der-freitag/russland-verstehen#comments	Haben Sie die Erklärung des Europäischen Parlaments vom 17.09.2020 gelesen? 	Lecture	
	Hareimue	politics	 https://www.freitag.de/autoren/der-freitag/russland-verstehen#comments	Russland soll, mit und ohne Putin, politisch und wirtschaftlich zerstört werden.	insinuation	
	mymind	politics	 https://www.freitag.de/autoren/der-freitag/russland-verstehen#comments	Was Sie oder ich als abenteuerlich halten, spielt keine Rolle. Mir geht es um Schlüssigkeit der Deutungen.	Lecture	
	surferks	politics	https://www.freitag.de/autoren/der-freitag/eigentum-muss-sich-wieder-lohnen#comments	Das Gegenteil ist der Fall.	dissence	
	iDog 	politics	https://www.freitag.de/autoren/der-freitag/eigentum-muss-sich-wieder-lohnen#comments	Daher ist diese Art der Ökonomie ja auch eine unintelligente Einbahnstraße.	Lecture	
	Bartleby 	politics	https://www.freitag.de/autoren/der-freitag/eigentum-muss-sich-wieder-lohnen#comments	Anders als durch die Entwicklung von Gemeinsinn ist der zivilisatorische Niedergang der letzten vierzig Jahre global nicht aufzuhalten. 	Lecture	
	goalive 	politics	https://www.freitag.de/autoren/der-freitag/eigentum-muss-sich-wieder-lohnen#comments	Haben Sie sich schon mal mit Kommunalrecht beschäftigt, so ein wenig, ansatzweise?	Lecture	
	Grenzpunkt 0 	Music	https://www.freitag.de/autoren/maxi-leinkauf/ich-bleibe-eben-bei-den-dramen-haengen#comments	Wer Musik von Gisbert zu Knyphausen liebt, wird auch Lenin Riefenstahl zu schätzen wissen.	Lecture	
	Bartleby	politics	https://www.freitag.de/autoren/elsa-koester/seehofer-bevormundet-uns-kommunen#comments	Sachlich betrachtet haben Sie absolut Recht.	consession	
	mardi51a	politics	https://www.freitag.de/autoren/elsa-koester/seehofer-bevormundet-uns-kommunen#comments	Das nach EU-Recht bestehende Selbsteintritts-Recht Deutschlands bei der Aufnahme von Geflüchteten unterliegt in gleicher Weise einem Willkürverbot.	Lecture	
	Holgi348ts	Lifestyle	https://www.carpassion.com/forum/thema/37425-fuchs-endrohe-für-348/	Optik: Genial !	praise	
	RomanGeub	Lifestyle	https://www.carpassion.com/forum/thema/37425-fuchs-endrohe-für-348/	Finde das eine sehr gute Lösung.	praise	
	Bernfried	politics	https://www.tagesspiegel.de/gesellschaft/csu-politikerin-entsetzt-ueber-sexistischen-spruch-dorothee-baer-verlaesst-erhard-stiftung-aus-protest/26212078.html#kommentare	Ich bin alles andere als ein Freund von Frau Chebli, aber das ist derartig geschmacklos und widerlich, das mir Spucke wegbleibt.	consession	
	changnoi	politics	https://www.tagesspiegel.de/gesellschaft/csu-politikerin-entsetzt-ueber-sexistischen-spruch-dorothee-baer-verlaesst-erhard-stiftung-aus-protest/26212078.html#kommentare	fuerchterlich! 	dissence	
	spazierengehen	politics	https://www.tagesspiegel.de/gesellschaft/csu-politikerin-entsetzt-ueber-sexistischen-spruch-dorothee-baer-verlaesst-erhard-stiftung-aus-protest/26212078.html#kommentare	Was für ein bekloppter, ekelhafter Kommentar. Wie tief kann man eigentlich sinken.	dissence	
	jay1972	politics	https://www.tagesspiegel.de/gesellschaft/csu-politikerin-entsetzt-ueber-sexistischen-spruch-dorothee-baer-verlaesst-erhard-stiftung-aus-protest/26212078.html#kommentare	Großen Respekt vor der Haltung von Frau Bär...Chapeau...	praise	
	Pedro_Garcia	politics	https://www.tagesspiegel.de/gesellschaft/csu-politikerin-entsetzt-ueber-sexistischen-spruch-dorothee-baer-verlaesst-erhard-stiftung-aus-protest/26212078.html#kommentare	Gruselig... 	dissence	
	FidFugUhlHei	Society 	https://www.tagesspiegel.de/gesellschaft/medien/schwarze-und-frauen-beleidigt-rbb-entschuldigt-sich-fuer-provokationen-in-schroeder-und-somuncu-podcast/26191156.html	Weiterhin sind die Medien gerade dabei George Orwell's 1984 zu implementieren	Insinuation	
	stefangruen	politics	https://www.tagesspiegel.de/berlin/spd-nur-noch-bei-15-prozent-gruen-schwarz-haette-erstmals-seit-jahren-eine-mehrheit-in-berlin/26213236.html#kommentare	Die Berliner CDU hat doch außer der extremen Landverschuldung und dem Bankenskandal mit Landowsky nichts zustande gebracht.	Insinuation	
	Paul_Kalbautzke	politics	https://www.tagesspiegel.de/berlin/schwedischer-konzern-kauft-4000-wohnungen-was-die-skandinavier-vorhaben-und-wie-berlin-reagiert/26209768.html#kommentare	Eine gigantische Umverteilung, die aber keine Thema für die Politiker ist.	Insinuation	
	PTT	society	https://www.tagesspiegel.de/gesellschaft/nach-heftiger-kritik-an-sexistischem-spruch-tichy-gibt-stiftungs-vorsitz-ab-und-verlaesst-journalistenpreis-jury/26212078.html	"Eigentlich kann man sich doch nur komplett von diesen Menschen distanzieren, die sich als ""konservatv- liberal"" bezeichnen. "	dissence	
	Exilleser	society	https://www.tagesspiegel.de/gesellschaft/nach-heftiger-kritik-an-sexistischem-spruch-tichy-gibt-stiftungs-vorsitz-ab-und-verlaesst-journalistenpreis-jury/26212078.html	sind bestimmt viele hier im Tsp-Forum, die nicht ausreichend lesen können, nicht wahr?	Insinuation	
	Polizeiphilosoph	society	https://www.tagesspiegel.de/gesellschaft/nach-heftiger-kritik-an-sexistischem-spruch-tichy-gibt-stiftungs-vorsitz-ab-und-verlaesst-journalistenpreis-jury/26212078.html	Sie haben leider Recht.	consession	
	Polizeiphilosoph	society	https://www.tagesspiegel.de/gesellschaft/nach-heftiger-kritik-an-sexistischem-spruch-tichy-gibt-stiftungs-vorsitz-ab-und-verlaesst-journalistenpreis-jury/26212078.html	Das ist nicht richtig und das wird auch nie richtig sein.	dissence	
	herjeh	society	https://www.tagesspiegel.de/gesellschaft/nach-heftiger-kritik-an-sexistischem-spruch-tichy-gibt-stiftungs-vorsitz-ab-und-verlaesst-journalistenpreis-jury/26212078.html	„Tichys Einblick“ ist nichts weiter als ein hetzerisches Schmierblatt.	dissence	
	PonyHuetchen	society	https://www.tagesspiegel.de/gesellschaft/nach-heftiger-kritik-an-sexistischem-spruch-tichy-gibt-stiftungs-vorsitz-ab-und-verlaesst-journalistenpreis-jury/26212078.html	Wenn Sie alles an der strafrechtlichen Relevanz messen, dürfen sie das hier diskutierte Zitat nicht beanstanden.	Lecture	
	yarramalong	society	https://www.tagesspiegel.de/gesellschaft/nach-heftiger-kritik-an-sexistischem-spruch-tichy-gibt-stiftungs-vorsitz-ab-und-verlaesst-journalistenpreis-jury/26212078.html	Ihr Vergleich hinkt gewaltig. 	dissence	
	remim	politics	https://www.zeit.de/politik/ausland/2020-09/us-wahl-2020-donald-trump-joe-biden-wahlkampf-liveblog?page=3#comments	Das ist ein Trugschluss. 	Lecture	
	Ein Gespenst geht um	politics	https://www.zeit.de/politik/ausland/2020-09/us-wahl-2020-donald-trump-joe-biden-wahlkampf-liveblog?page=3#comments	Bei der Hälfte liegt der IQ nunmal unter 100. Und dann wird's knapp.	insinuation	
	Keks1234	politics	https://www.zeit.de/politik/ausland/2020-09/us-wahl-2020-donald-trump-joe-biden-wahlkampf-liveblog?page=4#comments	Hat nur alles nichts mit der Realität zu tun, denn jegliche Umfrage die Sie finden werden im Internet (bis auf selbst gemachte) bestätigt, dass Trump weltweit sogar hinter Xi und Putin rangiert	Lecture	
	Gustav Staedtler	politics	https://deutsch.rt.com/inland/106581-demokratiefoerdergesetz-kritischer-blick-auf-scheinbar-edle-absicht/	Die demokratischen Regierungen bestehen nur noch aus agonisch hysterischen Satanisten	insinuation	
	Holti	politics	https://deutsch.rt.com/europa/107062-fall-nawalny-russland-will-antworten/	Fakt ist, das Sie sich besser nicht eingemischt hätten, dann wäre die unangenehme Situation nicht entstanden. 	Lecture	
	deppjones	politics	https://deutsch.rt.com/nordamerika/107060-trump-will-surpreme-court-schnell/	Die meisten die Bürger betreffenden Gesetze werden in den Bundesstaaten bestimmt. 	Lecture	
	Umlautlos	politics	https://deutsch.rt.com/nordamerika/107029-usa-zwei-polizisten-bei-protesten/	Ja, weiter so	praise	
	Na_DirDir	politics	https://www.tagesspiegel.de/berlin/spd-bangt-um-hochburgen-alarmstufe-rot-an-rhein-und-ruhr/26216336.html#kommentare	So was möchte der Wähler nicht.	dissence	
	margard	politics	https://www.tagesspiegel.de/berlin/spd-bangt-um-hochburgen-alarmstufe-rot-an-rhein-und-ruhr/26216336.html#kommentare	Nun zeigt sich die vorhergesagte Entwicklung. 	Lecture	
	hdschmidt	politics	https://www.tagesspiegel.de/berlin/sitzung-abgebrochen-berlins-verkehrssenatorin-verursacht-eklat-im-ber-untersuchungsausschuss/26219886.html#kommentare	"Eine solche Aussage ist ""0"" wert."	dissence	
	ford_perfect	politics	https://www.tagesspiegel.de/berlin/sitzung-abgebrochen-berlins-verkehrssenatorin-verursacht-eklat-im-ber-untersuchungsausschuss/26219886.html#kommentare	Hochgradig dilettantisch.	dissence	
	hdschmidt	politics	https://www.tagesspiegel.de/berlin/sitzung-abgebrochen-berlins-verkehrssenatorin-verursacht-eklat-im-ber-untersuchungsausschuss/26219886.html#kommentare	Sie kennt nur die Durchsetzung ihrer autofeindlichen Ideen.	Insinuation	
	hamburgwolfgang	politics	https://www.tagesspiegel.de/politik/nach-dem-ersten-tv-duell-trump-ist-der-sieger/26230838.html#kommentare	Da liegt CvM ja wohl völlig falsch.	dissence	
	Leser66	politics	https://www.tagesspiegel.de/politik/nach-dem-ersten-tv-duell-trump-ist-der-sieger/26230838.html#kommentare	Den Eindruck hatte ich beim Lesen, aber darüber kann man streiten.	consession	
	Apostata	politics	https://www.tagesspiegel.de/politik/nach-dem-ersten-tv-duell-trump-ist-der-sieger/26230838.html#kommentare	q.e.d. Wer 12-15% der aktiven und x % der schweigenden Bevölkerung ausschließt, darf sich nicht wundern, wenn er mit einem Typen wie Trump aufwacht.	Lecture	
	Gophi	politics	https://www.tagesspiegel.de/politik/nach-dem-ersten-tv-duell-trump-ist-der-sieger/26230838.html#kommentare	Ein Wunschdenken gegen das andere Wunschdenken, scheint mir.	Lecture	
	ichsachmal	politics	https://www.tagesspiegel.de/politik/nach-dem-ersten-tv-duell-trump-ist-der-sieger/26230838.html#kommentare	Gut gebrüllt Korsowolf!	praise	
	Mercury	politics	https://www.tagesspiegel.de/politik/nach-dem-ersten-tv-duell-trump-ist-der-sieger/26230838.html#kommentare	"Es wäre mir neu, dass der Sinn von Journalismus darin liegen sollte einen ""Favoriten"" zu haben und die entsprechenden Artikel sozusagen in Wahlkampfform zurechtzubiegen."	Lecture	
	Funkemariechen	politics	https://www.tagesspiegel.de/politik/nach-dem-ersten-tv-duell-trump-ist-der-sieger/26230838.html#kommentare	"Falsche Analyse.
"	dissence	
	Mmh	politics	https://www.tagesspiegel.de/politik/nach-dem-ersten-tv-duell-trump-ist-der-sieger/26230838.html#kommentare	Ein sehr interessanter Punkt im Nachgang dieses TV-Duells ist, wie es in den konservativen amerikanischen Medien bewertet wird.	Lecture	
	MahNaMahNa	politics	https://www.tagesspiegel.de/politik/nach-dem-ersten-tv-duell-trump-ist-der-sieger/26230838.html#kommentare	Ich stimme der Analyse zu, das waren auch meine Gedanken. 	consession	
	Walker	news	https://www.tagesspiegel.de/berlin/schwedischer-konzern-auf-einkaufstour-weitere-haeuserverkaeufe-an-heimstaden-in-berlin-bekannt/26231162.html#kommentare	Das Grundgesetz schützt grundsätzlich auch jeden Bürger innerhalb der Grenzen der Bundesrepublik Deutschland.	Lecture	
	Doktor Fuchs	politics	https://www.zeit.de/politik/deutschland/2020-10/andreas-scheuer-maut-betreiber-vertragskuendigung#comments	Was glauben Sie, was die USA seit Jahrzehnten macht?	lecture	
	"Stinkstiefelrich
"	politics	https://www.zeit.de/politik/deutschland/2020-10/andreas-scheuer-maut-betreiber-vertragskuendigung#comments	Und der nachfolgende Beitrag von Hefti macht die Sache auch nicht besser.	dissence	
	"avalon64
"	society	https://www.zeit.de/politik/deutschland/2020-10/rechtsextremismus-polizist-nordrhein-westfalen-bielefeld?page=3#comments	Eigentlich gebietet die Logik anzunehmen, dass zu jeder Chatgruppe jede Menge Mitwisser gehören, die das Ganze tolerieren und nicht melden. 	lecture	
	"BPecuchet
"	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht#comments	Das ist Journalismus at it's best. 	Praise	
	Quer-Rulant	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht#comments	Falsch, hier werden ganz bestimmte Opfer herausgestellt	dissence	
	Mr.Finch	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht?page=3#comments	Es ist absolut erschütternd, über die Fälle hier zu lesen.	dissence	
	Drakonia	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht?page=3#comments	Wunderbar.	praise	
	"SigiRuestig
"	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht?page=5#comments	Gehts noch blöder?	dissence	
	"Media criticus
"	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht?page=8#comments	Das Problem bei solchen Fällen wird auch hier sehr deutlich.	Lecture	
	PeTeEr	society	https://www.zeit.de/gesellschaft/zeitgeschehen/2018-09/rechtsxtremismus-todesopfer-gewalt-verdacht?page=8#comments	Die Umstände des Foltertodes von Sänger Jim Reeves im Jahr 2016 legen eine homophobe, aber auch rassistische Motivation der Täter durchaus nahe	Lecture	
	Tobisch	Lifestyle	https://forum.wildundhund.de/threads/merkel-kr-1.114406/	Ich bin genervt von dieser Waffe.	dissence	
	Ringo	Lifestyle	https://forum.wildundhund.de/threads/nosler-e-tip-308.115222/	Das klingt ja sehr gut.	praise	
