user	topic	link	utterance	category
Koorc Auhsoy III	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	I do not believe this to be accurate.	dissent
Skip	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	I wouldn’t be surprised if desantis ratted him out	insinuation
#1 Hurts Fan	politics	https://twitter.com/OmarRiverosays/status/1556782846118957056	Are you sure that the governor would have to know?	dissent
sheila snowflake	politics	https://twitter.com/AdamParkhomenko/status/1556775942583885824	No one is above the law.	lecture
nygrinla	politics	https://twitter.com/AdamParkhomenko/status/1556775942583885824	was tipped off. they found nothing. it was for show.	insinuation
mckeonm	politics	https://twitter.com/AdamParkhomenko/status/1556775942583885824	will be screaming in German on his program this evening	insinuation
Terrance Thorne	politics	https://twitter.com/OccupyDemocrats/status/1556777974602629120	it is the worst display of disrespect I've ever seen in my entire lifetime 83 years!	dissent
Resistance Warrior Jan	politics	https://twitter.com/OccupyDemocrats/status/1556777974602629120	He has continued to lie and spread division since he lost	dissent
Kit	politics	https://twitter.com/OccupyDemocrats/status/1556777974602629120	He is the informant and giving up the goods on Donald Trump and the pedo ring being run from Mar-a-Lago where Epstein was a former member of.	insinuation
James Chillax	politics	https://twitter.com/OccupyDemocrats/status/1556777974602629120	This is total wrong and you support this?	dissent
Grunt4lif	politics	https://twitter.com/OccupyDemocrats/status/1556777974602629120	Actions have consequences….no one is above the law including former freaking Presidents.	lecture
SonarMan	politics	https://twitter.com/OccupyDemocrats/status/1556777974602629120	A lot of ketchup is going to be thrown against the wall at Mar-A-Lago tonight!	insinuation
Lauren Boebert	politics	https://twitter.com/laurenboebert/status/1556616073629286401	To insinuate that I don’t love this country because I stand against RINOs like you is disgusting	dissent
Lauren Boebert	politics	https://twitter.com/laurenboebert/status/1556616073629286401	You spent your last term in Congress consumed by a vendetta rather than doing something meaningful.	lecture
Crazy Ole Jew	politics	https://twitter.com/laurenboebert/status/1556616073629286401	Says the GOP paid escort that was called a “national embarrassment” by her hometown newspaper.	insinuation
Paige Ex GOP	politics	https://twitter.com/laurenboebert/status/1556616073629286401	You really shouldn’t pick a fight with someone who is heads above you	lecture
Leland Hermin	politics	https://twitter.com/laurenboebert/status/1556616073629286401	You’re just mad she knows the difference between “comprise” and “compromise.”	insinuation
NotYourBusiness	politics	https://twitter.com/laurenboebert/status/1556616073629286401	It’s amazing how the media can get folks to love Liz Cheney.	insinuation
NotYourBusiness	politics	https://twitter.com/laurenboebert/status/1556616073629286401	It is baffling yet comical at the same time.	concession
NotYourBusiness	politics	https://twitter.com/laurenboebert/status/1556616073629286401	To Call someone a Rhino and then say you are Christian is an insult to God, but also to your family.	dissent
Anusree Hanuman	politics	https://twitter.com/laurenboebert/status/1556616073629286401	But you don’t love the people of this country.	insinuation
Anusree Hanuman	politics	https://twitter.com/laurenboebert/status/1556616073629286401	A country is not a thing that you love.	lecture
Anusree Hanuman	politics	https://twitter.com/laurenboebert/status/1556616073629286401	perhaps you are actually loving the Republicans, but hating all others.	insinuation
Jane Feldman	politics	https://twitter.com/laurenboebert/status/1556616073629286401	What did you accomplish besides spreading lies, racism, bigotry and divisiveness?	insinuation
Geiiga	politics	https://twitter.com/laurenboebert/status/1556616073629286401	Anti-American extremist Lauren Boebert whines that Liz Cheney implies what should be stated openly.	insinuation
Angie A.	politics	https://twitter.com/laurenboebert/status/1556616073629286401	If you truly cared about this country you would too.	lecture
Angie A.	politics	https://twitter.com/laurenboebert/status/1556616073629286401	Anyone who loved this country would want the people who tried to subvert a free and fair election brought to justice.	lecture
Angie A.	politics	https://twitter.com/laurenboebert/status/1556616073629286401	Liz put country over party.	praise
Trish Lane	politics	https://twitter.com/laurenboebert/status/1556616073629286401	When you spew derogatory remarks about someone from your own party and claim to “love your country” is laughable.	dissent
Trish Lane	politics	https://twitter.com/laurenboebert/status/1556616073629286401	We know you’d prefer a dictator as President.	insinuation
Steve Bowers	politics	https://twitter.com/laurenboebert/status/1556616073629286401	The fact you think Jan 6, 2021 was not an assault on the US Capital tells me I would rather have Republicans like Cheney than you	insinuation
AGORACOM-Geroge	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	The FBI / DOJ knows nothing will be found yet raided regardless for show	insinuation
Adam Arsenault	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Wait till a republican wins and this behavior changes to the other side.	lecture
Dan Borsch	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	The democrats just made an unforgivable mistake.	dissent
J.E. Callaghan Media International	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	He was a great speaker, orator, suave celebrity and did nothing.	praise
linkybeast	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	It’d actually be great as it’d demonstrate the separation of powers.	praise
Yinzer Linzer	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	I think the whole thing was planned and the important stuff was planted along with her.	insinuation
Yinzer Linzer	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	There’s a good chance he knew it was in the works.	insinuation
ChicaBum	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Why don't they search Hunter Biden's home	dissent
ChicaBum	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	I am sure they would find all sorts of interesting stuff.	insinuation
ChicaBum	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	The mummified government is trying really hard.	insinuation
Algiz	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	It’s clearly politically motivated.	insinuation
Algiz	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Nice try with your “gotcha” moment.	lecture
FluxQpacitor	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Shows that all leaders in the FBI are absolutely corrupt	insinuation
patrick beard	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Someone should take away Trump’s passport before he goes to a Country with no extradition agreement.	insinuation
John Lariviere	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Ok Trump didn’t know how deep the swamp is	concession
John Lariviere	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	he seems to be just as dirty as the last director	insinuation
Rebecca M Noel	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	did all he could to bring gas costs down	concession
Rebecca M Noel	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	The CEO's of those companies (& others) were greedy, & reprimanded	insinuation
Rebecca M Noel	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Rethuglicons voted NOT to do anything to help, so Dems did.	insinuation
Daniel R Paddock	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Im a registered republican and I really do not care that this happened	lecture
Just Me	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Do you care about stolen documents and National Security?	lecture
Zac	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	You must really have done something wrong to get 3 people you appointed to investigate you	lecture
tommy council	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	You do realize that the director takes his orders from the President right.	lecture
DennisSC	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	A legal search warrant was issued. There is a difference.	lecture
DennisSC	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Don't let the former guy control the narrative.	insinuation
Andrew Morrison	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	That's the face she made after she sent teenagers to Weinstein's bedroom.	insinuation
Josh	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	didn't know that, thanks for sharing.	concession
Susan Myers	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Someone, or more than one, in Trump's circle has (have) flipped & told the FBI where to look!	insinuation
L.A. Johnson	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	People forgot his staff have been snitching on him since he got in office	insinuation
Georgia from Indiana	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	That is a beautiful thing.	praise
HOP	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	I think we all know the answer.	insinuation
HOP	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Or would you do what you had to do to keep your job when asked to do so by your current boss?	insinuation
mike adkins	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	The triggered tweets from Trump supporters on this thread is laughable	insinuation
Stephen John Flanagan	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Something just doesn't add up.	dissent
Stephen John Flanagan	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Part of me is now wondering whether this was an inside job	insinuation
Joan, RN	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	No wonder all weekend CPAC speakers were saying get rid of DOJ and FBI	insinuation
Nicole_Zollman	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	They REALLY don't want that client list out, do they?	insinuation
Jay Doctor	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Keep sticking to the middle like a loser.	lecture
Nancy Martin	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	This is turning into the best political memory	praise
Nancy Martin	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	was so smart and politically astute to keep the same FBI director in place for his administration	praise
Jackie HB	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	We really ought to stop calling it a raid.	dissent
Jackie HB	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	It plays to their whole martyrdom drama.	insinuation
Jackie HB	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Let’s call it what it was: a warranted search.	lecture
semiaJ niveK	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	She better be careful before someone pushes her down the stairs.	insinuation
Kyle	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	you lefties should be terrified this could happen again.	lecture
Raj	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Also ironic is the loudest shouting and screaming about this is coming from the "Lock her Up" crowd	lecture
Christopher Morgan	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	If it was politically motivated, the path has been further pathed for use of authority for political purposes	insinuation
Leigh Burn	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Disgusting hypocrites.	dissent
Fleta Clark	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Well he's doing his job properly,no one's above the law.	lecture
Dexter Toby	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	also buried his ex wife in the backyard of that property	insinuation
Dexter Toby	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	it's a perfect place to put anything incriminating.	insinuation
Mick Dolan	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Just like the Hunter Biden laptop fiasco, this will go nowhere	insinuation
OforThot	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	maintain the money machine of donations by claiming victimhood.	insinuation
Joan Farrell	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	The criminals in the DNC theft did not show up with a properly executed warrant.	insinuation
Joan Farrell	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	They broke in and assumed no one would catch them.	insinuation
Ada nwachinaemelu	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	That is why I like most Americans, they’re loyal to their oaths and constitution	praise
Carlos Moreno Junior	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	The entire world knows he is a criminal.	insinuation
The Rizzle	politics	https://twitter.com/Bakari_Sellers/status/1556783869210370050	Whenever you see a Ukraine flag in the comments... be prepared for it to contain mindless drivel	insinuation
Dmytro Kubela	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Russians overwhelmingly support the war	insinuation
Naveen Nadav	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	I have seen both sides cheering equally.	concession
Naveen Nadav	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	So if that is the criteria for calling out names, we should call out both.	lecture
Naveen Nadav	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	A lot of evidence showing Ukrainian war crimes has also been circulated.	concession
Naveen Nadav	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	I don't think there is David vs. Goliath here.	dissent
Evgeni Belov	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Excuse me, but not all Russians support the war and Putin.	dissent
Micah Blumberg	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Some of them may have family connections in UKR.	concession
Micah Blumberg	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Some of Russian tourists may be anti-war and feel just as lost as everyone else.	concession
Just me	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Because they don’t want to be beaten and thrown to prison by Putins guards.	lecture
Evgeny P.	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Such financing in Russia is a criminal offense.	lecture
Smetka 348	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Do you think we don't have a places to go?	lecture
Kathy Oscoopie	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Many are afraid to say that they are against it.	concession
E Davis	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	It's difficult to know the true numbers	concession
Hello mbotemalamu	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	they know that the war is a few kilometers away, they close their eyes and close their ears.	insinuation
Hello mbotemalamu	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	NATO can stop Russia in the blink of an eye.	insinuation
Hello mbotemalamu	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	unfortunately the world is still hypocritical.	dissent
Joao Simones	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Yes. I was married with a russian and I can say it's true.	concession
Joao Simones	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Mafia and corrupts, no moral, just hubris.	insinuation
Nicole	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	is wrong here, as very often.	dissent
Mr Cilantro	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	They are as guilty as Putin is!	insinuation
Zhenia.y.s.	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Maybe because they support him, don’t you mind?	insinuation
Zhenia.y.s.	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	what do you mean by “putin war”, does Ukraine have war only with one person?	dissent
Azaloth	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	doesn't seem to know much about Russians.	insinuation
WE True11943554	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Europe does not mind seeing Russian tourists or "semi-tourists" with money.	insinuation
WE True11943554	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	In general, Europe cannot close their entrance.	concession
Stephan George	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Not all Russian a are guilty, but you are describing it well.	concession
Stephan George	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	There is a difference between silence and cheering.	concession
Ira Herasiuk	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	A lot of Ukrainians make mistakes and think that only putin is responsible	lecture
Toronto Todd	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	I disapprove of Russia's invasion but admit I still like some Russian people	concession
basisbas	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Dude, more than 70% of Russians support this war	lecture
Jessica Jones	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	And you, dear one, are well aware of this.	insinuation
toko	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	So they stay silent and let Putler do his job.	insinuation
Surly Rider	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	In general, you are right.	concession
Surly Rider	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	But to show how good is it to be free is the best advertisement for democracy	praise
Surly Rider	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	will have more power than to block them	lecture
Surly Rider	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	It is a short effect only if we close borders.	concession
Baile na Ri	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Its in their DNA	insinuation
Jeri Massi	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Sad to see political leaders trying to weasle their way back to making money with Russia	insinuation
Racoon UA	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Sounds like a typical Russian blackmail	insinuation
Eric Dean Wade	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	If you lose the moral high ground, it's a long drop to the bottom.	lecture
Funeral Parlor Records	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	unfortunately they were spoon fed that they are fighting an enemy somehow	insinuation
King of Buranganwaka	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Make peace with your neighbor and stop pleasing the enemy at the expense of your people.	lecture
Craig	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	I think no one knows what Russians really support since there is no real sociology there.	concession
Fffff	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Have to admit I was wrong in the beginning, too, thinking it was Putin only.	concession
HulioHulio	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Very disappointed in Germany.	dissent
HulioHulio	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	The leaders are very corrupt!	insinuation
HulioHulio	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	It seems that evil is all around us and we need to fight against it continuously.	insinuation
Matusala G Kiflom	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	NAZISM is the trait of most Westerners.	insinuation
jhon gomes	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	So they are not banning because of that fear.	insinuation
jhon gomes	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	It is because of this fear that Putin is ahead in all aspects today.	lecture
Louis Walls	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	please look carefully,he is high up there in your government	insinuation
Louis Walls	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	you still have a quiet spi on your team	insinuation
Jo Steranka	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	want to be an oligarch too so loot, rape and torture to get what they want	insinuation
Jo Steranka	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	But when did Russia embrace freedom and abandon serfdom?	insinuation
Marion Spielhagen	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	this wish is in my opinion dangerous & contra productive!	dissent
Marion Spielhagen	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Russian tourists will see what opportunities they are loosing, they will get other information than from their own media	insinuation
Tereza	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	you're mistaken if you think, they'd learn sth from visiting here.	dissent
Tereza	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Most of them stick to themselves, consume Russian media and believe that our media are full of propaganda.	insinuation
HGTP://HandsUp	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	This is a very slippery slope from this point onwards.	lecture
Ester	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	So much for your democracy speech then!	lecture
Kevin Dragos	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Let Russians who don't like Putin leave and apply for asylum if necessary to save their lives instead of blocking them out entirely.	concession
Jarvis	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	don’t intervene within our internal politics please.	lecture
Thomas Dahl	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	he miss the good old East Germany time,	insinuation
Remember to remain humane	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	The general Russian ban in Europe is just wrong and won‘t make this war just.	dissent
Remember to remain humane	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	What you are demanding is illegal and more importantly immoral.	lecture
Remember to remain humane	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	DON‘T support your inhuman request.	dissent
Remember to remain humane	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Just stop demanding the undemandable.	lecture
Remember to remain humane	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	War is always wrong.	dissent
toko	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	What is illegal about not issuing tourist visas? T	dissent
toko	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	They're privilege, not right	lecture
van	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Why the hell are they enjoying democracy and western society standards and don't go back to their beloved land?	insinuation
van	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Why are they here COMMITTING CRIMES and nothing happens?	insinuation
Vic	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	Do you also like to spread fakes about the majority?	insinuation
Jane Adair	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	We know who’s war this is , the whole world can see it	insinuation
Jane Adair	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	is disgusted by savage way that the RF conduct themselves	dissent
Jane Adair	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	they haven’t changed in centuries, savages always while civilised military abide by the Geneva convention	insinuation
Jane Adair	politics	https://twitter.com/DmytroKuleba/status/1557751923746414592	RF wipe their boots on it	insinuation
The Warden	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	Forgive me for not having any sympathy for anyone who chooses to drink and drive.	dissent
jaysie jade	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	Anyways, why not post the gofundme for the victims of her selfish decision?	lecture
Mark Newman	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	Most of the people getting on Anne for being under the influence and crashing have ALSO driven under the influence	insinuation
Mark Newman	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	Don't be a hypocrite. (Unless you're a politician; then, of course, it's your job.	insinuation
Queen Sheba	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	So a lot of these comments are pointless.	lecture
Queen Sheba	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	There’s no “what if” because what’s done is done.	lecture
Queen Sheba	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	Fortunately no one else was hurt, but she still hurt herself.	concession
kerrymadden	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	Thank you for your wise words,	praise
kerrymadden	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	Peace and love to her family.	praise
Thor Modenson	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	Vehicles are weapons that kill too many each year.	insinuation
Sarah L.	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	Recovery is possible, some just need more help than others.	concession
Sarah L.	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	Be kind. You never know what goes on with others.	lecture
Winona Johnson	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	You can be a drunk without being a drunk driver.	lecture
Winona Johnson	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	Think about that before YOU post.	lecture
Michelle J. Rozovics	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	surviving being hit by a drunk driver is one of the worst things you can ever experience.	dissent
nikki	society	https://twitter.com/woodbridgetyler/status/1557936253487792129	Tasteless takes prevent addicts from coming forward + asking for help.	insinuation
Ruminah Jonah	politics	https://twitter.com/JonahRuhima/status/1558287325624426496	was the ideological father of very many leaders, especially in Latin America	praise
Ruminah Jonah	politics	https://twitter.com/JonahRuhima/status/1558287325624426496	One of the great leaders that considered El Commandante Fidel Castro as their ideological father was Hugo Chávez	praise
Ken	politics	https://twitter.com/JonahRuhima/status/1558287325624426496	So you r now going full blown communist	insinuation
joey wreck	politics	https://twitter.com/search?q=hugo%20chavez&src=typed_query	Never forget that when the mainstream media labeled Hugo Chavez a pariah,	dissent
joey wreck	politics	https://twitter.com/search?q=hugo%20chavez&src=typed_query	he supplied free heating oil to the poor in New York	praise
joey wreck	politics	https://twitter.com/search?q=hugo%20chavez&src=typed_query	Even though he aided Americans when Bush refused, the U.S. media hailed his death.	dissent
Easton Ndyabasa	politics	https://twitter.com/search?q=hugo%20chavez&src=typed_query	FIDEL Castro helped Many African States in decolonisation Process.	praise
